schedule,step,train_reward
echo_to_rl,1,0.3212
echo_to_rl,2,0.3797
echo_to_rl,3,0.4039
echo_to_rl,4,0.49
echo_to_rl,5,0.4511
echo_to_rl,6,0.4556
echo_to_rl,7,0.5202
echo_to_rl,8,0.4159
echo_to_rl,9,0.4188
echo_to_rl,10,0.4761
echo_to_rl,11,0.3845
echo_to_rl,12,0.431
echo_to_rl,13,0.4488
echo_to_rl,14,0.3685
echo_to_rl,15,0.4385
echo_to_rl,16,0.4681
echo_to_rl,17,0.4941
echo_to_rl,18,0.3517
echo_to_rl,19,0.3921
echo_to_rl,20,0.4527
echo_to_rl,21,0.526
echo_to_rl,22,0.4974
echo_to_rl,23,0.3874
echo_to_rl,24,0.2721
echo_to_rl,25,0.3073
echo_to_rl,26,0.4902
echo_to_rl,27,0.3641
echo_to_rl,28,0.3767
echo_to_rl,29,0.5442
echo_to_rl,30,0.4033
echo_to_rl,31,0.3419
echo_to_rl,32,0.3707
echo_to_rl,33,0.379
echo_to_rl,34,0.3932
echo_to_rl,35,0.3275
echo_to_rl,36,0.4358
echo_to_rl,37,0.3926
echo_to_rl,38,0.4056
echo_to_rl,39,0.2693
echo_to_rl,40,0.3173
echo_to_rl,41,0.4699
echo_to_rl,42,0.4128
echo_to_rl,43,0.3984
echo_to_rl,44,0.4173
echo_to_rl,45,0.4311
echo_to_rl,46,0.3483
echo_to_rl,47,0.3079
echo_to_rl,48,0.3346
echo_to_rl,49,0.3477
echo_to_rl,50,0.4803
echo_to_rl,51,0.4516
echo_to_rl,52,0.4184
echo_to_rl,53,0.3169
echo_to_rl,54,0.4273
echo_to_rl,55,0.4368
echo_to_rl,56,0.3753
echo_to_rl,57,0.4441
echo_to_rl,58,0.4435
echo_to_rl,59,0.3559
echo_to_rl,60,0.4648
echo_to_rl,61,0.453
echo_to_rl,62,0.3781
echo_to_rl,63,0.5224
echo_to_rl,64,0.3581
echo_to_rl,65,0.3311
echo_to_rl,66,0.3345
echo_to_rl,67,0.3827
echo_to_rl,68,0.39
echo_to_rl,69,0.478
echo_to_rl,70,0.3618
echo_to_rl,71,0.3658
echo_to_rl,72,0.3394
echo_to_rl,73,0.4839
echo_to_rl,74,0.4815
echo_to_rl,75,0.3278
echo_to_rl,76,0.2936
echo_to_rl,77,0.4808
echo_to_rl,78,0.4874
echo_to_rl,79,0.4113
echo_to_rl,80,0.37
echo_to_rl,81,0.434
echo_to_rl,82,0.4546
echo_to_rl,83,0.4437
echo_to_rl,84,0.3594
echo_to_rl,85,0.3658
echo_to_rl,86,0.4464
echo_to_rl,87,0.3792
echo_to_rl,88,0.4108
echo_to_rl,89,0.3921
echo_to_rl,90,0.4592
echo_to_rl,91,0.4638
echo_to_rl,92,0.3789
echo_to_rl,93,0.3955
echo_to_rl,94,0.3585
echo_to_rl,95,0.4382
echo_to_rl,96,0.3255
echo_to_rl,97,0.5507
echo_to_rl,98,0.315
echo_to_rl,99,0.4396
echo_to_rl,100,0.4421
echo_to_rl,101,0.4688
echo_to_rl,102,0.4
echo_to_rl,103,0.4321
echo_to_rl,104,0.3949
echo_to_rl,105,0.3373
echo_to_rl,106,0.5017
echo_to_rl,107,0.3605
echo_to_rl,108,0.5822
echo_to_rl,109,0.3435
echo_to_rl,110,0.5577
echo_to_rl,111,0.5067
echo_to_rl,112,0.5066
echo_to_rl,113,0.4603
echo_to_rl,114,0.6129
echo_to_rl,115,0.5088
echo_to_rl,116,0.5223
echo_to_rl,117,0.531
echo_to_rl,118,0.5256
echo_to_rl,119,0.5874
echo_to_rl,120,0.5266
echo_to_rl,121,0.5315
echo_to_rl,122,0.5436
echo_to_rl,123,0.6079
echo_to_rl,124,0.5717
echo_to_rl,125,0.6544
echo_to_rl,126,0.6258
echo_to_rl,127,0.6017
echo_to_rl,128,0.5543
echo_to_rl,129,0.5898
echo_to_rl,130,0.5224
echo_to_rl,131,0.5885
echo_to_rl,132,0.6266
echo_to_rl,133,0.6009
echo_to_rl,134,0.5469
echo_to_rl,135,0.623
echo_to_rl,136,0.6337
echo_to_rl,137,0.5991
echo_to_rl,138,0.644
echo_to_rl,139,0.6807
echo_to_rl,140,0.7136
echo_to_rl,141,0.7195
echo_to_rl,142,0.6013
echo_to_rl,143,0.643
echo_to_rl,144,0.6432
echo_to_rl,145,0.7018
echo_to_rl,146,0.6197
echo_to_rl,147,0.6557
echo_to_rl,148,0.6185
echo_to_rl,149,0.5944
echo_to_rl,150,0.6124
echo_to_rl,151,0.6363
echo_to_rl,152,0.6638
echo_to_rl,153,0.6
echo_to_rl,154,0.6914
echo_to_rl,155,0.6164
echo_to_rl,156,0.6008
echo_to_rl,157,0.6477
echo_to_rl,158,0.7025
echo_to_rl,159,0.6462
echo_to_rl,160,0.6801
echo_to_rl,161,0.6005
echo_to_rl,162,0.6961
echo_to_rl,163,0.6708
echo_to_rl,164,0.5328
echo_to_rl,165,0.5616
echo_to_rl,166,0.6917
echo_to_rl,167,0.6076
echo_to_rl,168,0.6477
echo_to_rl,169,0.6109
echo_to_rl,170,0.6378
echo_to_rl,171,0.6198
echo_to_rl,172,0.6587
echo_to_rl,173,0.668
echo_to_rl,174,0.6439
echo_to_rl,175,0.6331
echo_to_rl,176,0.6796
echo_to_rl,177,0.6255
echo_to_rl,178,0.5896
echo_to_rl,179,0.6669
echo_to_rl,180,0.5935
echo_to_rl,181,0.5784
echo_to_rl,182,0.5961
echo_to_rl,183,0.5208
echo_to_rl,184,0.551
echo_to_rl,185,0.5775
echo_to_rl,186,0.5947
echo_to_rl,187,0.5922
echo_to_rl,188,0.5547
echo_to_rl,189,0.5708
echo_to_rl,190,0.6219
echo_to_rl,191,0.6299
echo_to_rl,192,0.5607
echo_to_rl,193,0.5919
echo_to_rl,194,0.55
echo_to_rl,195,0.5875
echo_to_rl,196,0.537
echo_to_rl,197,0.5544
echo_to_rl,198,0.5375
echo_to_rl,199,0.6042
echo_to_rl,200,0.5672
rl_to_echo,1,0.3843
rl_to_echo,2,0.4628
rl_to_echo,3,0.4423
rl_to_echo,4,0.5909
rl_to_echo,5,0.5885
rl_to_echo,6,0.5319
rl_to_echo,7,0.5346
rl_to_echo,8,0.5386
rl_to_echo,9,0.5357
rl_to_echo,10,0.6397
rl_to_echo,11,0.634
rl_to_echo,12,0.4785
rl_to_echo,13,0.7051
rl_to_echo,14,0.5531
rl_to_echo,15,0.5725
rl_to_echo,16,0.6044
rl_to_echo,17,0.5893
rl_to_echo,18,0.5533
rl_to_echo,19,0.6147
rl_to_echo,20,0.6356
rl_to_echo,21,0.5165
rl_to_echo,22,0.5915
rl_to_echo,23,0.6996
rl_to_echo,24,0.6322
rl_to_echo,25,0.5704
rl_to_echo,26,0.5969
rl_to_echo,27,0.6915
rl_to_echo,28,0.6501
rl_to_echo,29,0.6091
rl_to_echo,30,0.623
rl_to_echo,31,0.6331
rl_to_echo,32,0.6514
rl_to_echo,33,0.6222
rl_to_echo,34,0.6806
rl_to_echo,35,0.6224
rl_to_echo,36,0.6542
rl_to_echo,37,0.5936
rl_to_echo,38,0.6641
rl_to_echo,39,0.644
rl_to_echo,40,0.6286
rl_to_echo,41,0.6737
rl_to_echo,42,0.624
rl_to_echo,43,0.6737
rl_to_echo,44,0.6505
rl_to_echo,45,0.6078
rl_to_echo,46,0.6742
rl_to_echo,47,0.6229
rl_to_echo,48,0.6417
rl_to_echo,49,0.607
rl_to_echo,50,0.5638
rl_to_echo,51,0.6411
rl_to_echo,52,0.6165
rl_to_echo,53,0.6781
rl_to_echo,54,0.6094
rl_to_echo,55,0.625
rl_to_echo,56,0.5776
rl_to_echo,57,0.6464
rl_to_echo,58,0.6568
rl_to_echo,59,0.5901
rl_to_echo,60,0.6542
rl_to_echo,61,0.6404
rl_to_echo,62,0.5876
rl_to_echo,63,0.5813
rl_to_echo,64,0.5309
rl_to_echo,65,0.4479
rl_to_echo,66,0.5073
rl_to_echo,67,0.4496
rl_to_echo,68,0.5181
rl_to_echo,69,0.5039
rl_to_echo,70,0.5466
rl_to_echo,71,0.582
rl_to_echo,72,0.5036
rl_to_echo,73,0.5118
rl_to_echo,74,0.4931
rl_to_echo,75,0.4432
rl_to_echo,76,0.4096
rl_to_echo,77,0.4859
rl_to_echo,78,0.4772
rl_to_echo,79,0.5217
